ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:51,cpsc,lp,2,bw,20,0.9512,0.7711,0.9512,0.7709,-0.00,+0.02,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,bw,20,0.9552,0.7902,0.9554,0.7904,-0.01,-0.03,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:51,cpsc,lp,0,emg,0,0.6786,0.2276,0.9538,0.7856,-27.52,-55.80,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:51,cpsc,lp,2,emg,0,0.6277,0.1883,0.9512,0.7709,-32.35,-58.26,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,emg,0,0.6436,0.1887,0.9554,0.7904,-31.18,-60.18,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:51,cpsc,lp,0,emg,5,0.7685,0.3069,0.9538,0.7856,-18.53,-47.87,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:51,cpsc,lp,2,emg,5,0.7323,0.2725,0.9512,0.7709,-21.89,-49.84,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:51,cpsc,lp,4,emg,5,0.7601,0.2938,0.9554,0.7904,-19.53,-49.67,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,emg,10,0.8434,0.4255,0.9538,0.7856,-11.04,-36.02,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,emg,10,0.8546,0.4614,0.9512,0.7709,-9.66,-30.95,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,emg,10,0.8638,0.4850,0.9554,0.7904,-9.16,-30.55,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,emg,20,0.9318,0.6842,0.9538,0.7856,-2.20,-10.15,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,emg,20,0.9340,0.6970,0.9512,0.7709,-1.72,-7.39,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,emg,20,0.9388,0.7182,0.9554,0.7904,-1.66,-7.22,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl50,0,0.6938,0.2404,0.9538,0.7856,-26.00,-54.53,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl50,0,0.7247,0.2527,0.9512,0.7709,-22.65,-51.82,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl50,0,0.7083,0.2285,0.9554,0.7904,-24.71,-56.19,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl50,5,0.7824,0.3263,0.9538,0.7856,-17.14,-45.93,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl50,5,0.8167,0.3819,0.9512,0.7709,-13.45,-38.90,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl50,5,0.8000,0.3532,0.9554,0.7904,-15.54,-43.73,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl50,10,0.8638,0.4967,0.9538,0.7856,-9.00,-28.89,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl50,10,0.8896,0.5766,0.9512,0.7709,-6.16,-19.43,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl50,10,0.8827,0.5495,0.9554,0.7904,-7.27,-24.09,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl50,20,0.9266,0.6889,0.9538,0.7856,-2.72,-9.68,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl50,20,0.9272,0.7074,0.9512,0.7709,-2.40,-6.35,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl50,20,0.9302,0.7072,0.9554,0.7904,-2.51,-8.32,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl60,0,0.6932,0.2407,0.9538,0.7856,-26.06,-54.49,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl60,0,0.6929,0.2279,0.9512,0.7709,-25.83,-54.30,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl60,0,0.6979,0.2120,0.9554,0.7904,-25.74,-57.85,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl60,5,0.7596,0.2847,0.9538,0.7856,-19.42,-50.09,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl60,5,0.7829,0.3276,0.9512,0.7709,-16.83,-44.33,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl60,5,0.7589,0.2802,0.9554,0.7904,-19.64,-51.03,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl60,10,0.8408,0.4289,0.9538,0.7856,-11.30,-35.68,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl60,10,0.8713,0.5168,0.9512,0.7709,-7.99,-25.41,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl60,10,0.8521,0.4590,0.9554,0.7904,-10.33,-33.14,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,pl60,20,0.9234,0.6817,0.9538,0.7856,-3.04,-10.39,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,pl60,20,0.9280,0.6976,0.9512,0.7709,-2.32,-7.33,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,pl60,20,0.9307,0.7032,0.9554,0.7904,-2.46,-8.73,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,qual_amp,0.8,0.9523,0.7811,0.9538,0.7856,-0.15,-0.45,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,qual_amp,0.8,0.9491,0.7647,0.9512,0.7709,-0.21,-0.62,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,qual_amp,0.8,0.9535,0.7867,0.9554,0.7904,-0.18,-0.37,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,qual_amp,0.6,0.9435,0.7487,0.9538,0.7856,-1.03,-3.69,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,qual_amp,0.6,0.9390,0.7347,0.9512,0.7709,-1.22,-3.62,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,qual_amp,0.6,0.9442,0.7561,0.9554,0.7904,-1.12,-3.43,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,qual_amp,0.4,0.9162,0.6590,0.9538,0.7856,-3.76,-12.67,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,qual_amp,0.4,0.9093,0.6534,0.9512,0.7709,-4.19,-11.75,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,qual_amp,0.4,0.9182,0.6707,0.9554,0.7904,-3.71,-11.98,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,qual_amp,0.2,0.8331,0.4660,0.9538,0.7856,-12.07,-31.97,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,qual_amp,0.2,0.8116,0.4527,0.9512,0.7709,-13.96,-31.82,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,qual_amp,0.2,0.8246,0.4482,0.9554,0.7904,-13.07,-34.23,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
09-22 20:52,cpsc,lp,0,qual_noise,20,0.9314,0.6802,0.9538,0.7856,-2.24,-10.55,2004,d9490c8,de0c28eedb30,9ec9ffc1127b
09-22 20:52,cpsc,lp,2,qual_noise,20,0.9335,0.6933,0.9512,0.7709,-1.77,-7.76,2004,d9490c8,26ebf0e26e5a,9ec9ffc1127b
09-22 20:52,cpsc,lp,4,qual_noise,20,0.9371,0.7089,0.9554,0.7904,-1.83,-8.15,2004,d9490c8,e599dbcdb693,9ec9ffc1127b
