ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:53,ptbxl,ft10,4,qual_amp,0.2,0.6821,0.3658,0.8679,0.6440,-18.58,-27.81,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_noise,20,0.8110,0.5653,0.8706,0.6474,-5.97,-8.21,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_noise,20,0.8273,0.5925,0.8679,0.6440,-4.06,-5.14,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_noise,15,0.8063,0.5266,0.8706,0.6474,-6.44,-12.08,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_noise,15,0.7899,0.5390,0.8679,0.6440,-7.81,-10.50,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_noise,10,0.7386,0.4283,0.8706,0.6474,-13.20,-21.91,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_noise,10,0.7243,0.4510,0.8679,0.6440,-14.36,-19.30,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,qual_noise,5,0.6575,0.3349,0.8706,0.6474,-21.32,-31.25,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,qual_noise,5,0.6561,0.3497,0.8679,0.6440,-21.18,-29.43,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap01,II<->III,0.8352,0.5981,0.8706,0.6474,-3.54,-4.93,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap01,II<->III,0.8397,0.5981,0.8679,0.6440,-2.82,-4.59,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap12,III<->V1,0.8396,0.6020,0.8706,0.6474,-3.10,-4.54,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:53,ptbxl,ft10,4,swap12,III<->V1,0.8483,0.6061,0.8679,0.6440,-1.96,-3.78,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:53,ptbxl,ft10,2,swap23,V1<->V2,0.8536,0.6053,0.8706,0.6474,-1.71,-4.21,1739,d9490c8,f39059a4430c,7d9a524cc38e
